issue_key,created
PTL-4599,2021-07-29
PTL-4620,2021-04-26
PTL-4822,2021-05-21
PTL-4841,2021-06-03
PTL-4847,2021-01-29
PTL-4854,2021-09-23
PTL-4859,2021-12-07
PTL-4887,2021-12-05
PTL-4895,2021-01-27
PTL-4907,2021-01-27
PTL-4913,2021-05-21
PTL-4921,2021-09-27
PTL-4922,2021-08-24
PTL-5029,2021-02-10
PTL-5034,2021-02-11
PTL-5036,2021-11-30
PTL-5047,2021-08-27
PTL-5053,2021-10-06
PTL-5067,2021-09-09
PTL-5087,2021-05-10
PTL-5089,2021-02-10
PTL-5091,2021-02-18
PTL-5101,2021-09-24
PTL-5108,2021-07-09
PTL-5110,2021-02-11
PTL-5114,2021-03-26
PTL-5115,2021-09-17
PTL-5126,2021-08-16
PTL-5128,2021-02-18
PTL-5131,2021-02-10
PTL-5132,2021-02-11
PTL-5147,2021-03-05
PTL-5153,2021-08-27
PTL-5157,2021-08-18
PTL-5165,2021-08-27
PTL-5172,2021-04-15
PTL-5183,2021-11-30
PTL-5312,2021-03-19
PTL-5314,2021-03-27
PTL-5318,2021-03-17
PTL-5320,2021-03-26
PTL-5321,2021-03-16
PTL-5322,2021-07-02
PTL-5325,2021-03-19
PTL-5327,2021-04-05
PTL-5329,2021-03-19
PTL-5330,2021-03-27
PTL-5331,2021-03-27
PTL-5332,2021-03-19
PTL-5338,2021-07-02
PTL-5339,2021-03-27
PTL-5340,2021-04-23
PTL-5341,2021-03-25
PTL-5342,2021-04-22
PTL-5343,2021-03-04
PTL-5345,2021-07-02
PTL-5347,2021-02-08
PTL-5349,2021-10-31
PTL-5353,2021-03-16
PTL-5359,2021-10-25
PTL-5363,2021-07-29
PTL-5364,2021-03-27
PTL-5376,2021-02-04
PTL-5379,2021-03-04
PTL-5380,2021-04-27
PTL-5382,2021-09-08
PTL-5384,2021-03-02
PTL-5387,2021-08-03
PTL-5391,2021-03-30
PTL-5392,2021-06-07
PTL-5395,2021-12-07
PTL-5400,2021-04-27
PTL-5407,2021-03-19
PTL-5410,2021-03-03
PTL-5417,2021-03-02
PTL-5420,2021-09-06
PTL-5427,2021-01-08
PTL-5431,2021-07-14
PTL-5433,2021-09-20
PTL-5440,2021-03-02
PTL-5447,2021-08-11
PTL-5517,2021-08-04
PTL-5546,2021-02-03
PTL-5551,2021-03-12
PTL-5555,2021-12-24
PTL-5567,2021-12-23
PTL-5609,2021-09-28
PTL-5611,2021-01-28
PTL-5649,2021-06-25
PTL-5664,2021-02-25
PTL-5747,2021-08-24
PTL-5773,2021-08-13
PTL-5824,2021-01-18
PTL-5849,2021-03-18
PTL-5860,2021-10-26
PTL-5876,2021-06-25
PTL-5899,2021-04-12
PTL-5936,2021-12-29
PTL-5954,2021-08-13
PTL-5977,2021-08-12
PTL-6007,2021-10-26
PTL-6425,2021-03-25
PTL-6636,2021-04-15
PTL-6654,2021-08-31
PTL-6671,2021-06-17
PTL-6696,2021-06-04
PTL-6697,2021-05-20
PTL-6707,2021-05-15
PTL-6713,2021-03-05
PTL-6720,2021-02-02
PTL-6741,2021-05-14
PTL-6745,2021-04-01
PTL-6888,2021-02-28
PTL-6896,2021-12-07
PTL-6901,2021-03-30
PTL-6902,2021-02-24
PTL-6909,2021-06-23
PTL-6910,2021-03-02
PTL-6943,2021-11-16
PTL-7123,2021-02-08
PTL-7192,2021-07-20
PTL-7369,2021-04-01
PTL-7392,2021-07-16
PTL-7399,2021-07-18
PTL-7407,2021-07-17
PTL-7420,2021-03-19
PTL-7423,2021-04-22
PTL-7436,2021-05-24
PTL-7453,2021-07-19
PTL-7462,2021-12-23
PTL-7468,2021-02-25
PTL-7472,2021-07-18
PTL-7494,2021-02-14
PTL-7522,2021-07-16
PTL-7530,2021-03-12
PTL-7538,2021-07-17
PTL-7541,2021-07-17
PTL-7552,2021-07-17
PTL-7685,2021-10-13
PTL-7687,2021-12-27
PTL-7689,2021-08-05
PTL-7691,2021-12-27
PTL-7697,2021-02-08
PTL-7700,2021-12-27
PTL-7706,2021-12-27
PTL-7715,2021-12-27
PTL-7718,2021-12-27
PTL-7749,2021-08-11
PTL-7779,2021-06-29
PTL-7785,2021-11-12
PTL-7790,2021-11-15
PTL-7806,2021-11-12
PTL-7807,2021-11-12
PTL-7809,2021-11-15
PTL-7812,2021-11-15
PTL-7813,2021-11-12
PTL-7814,2021-06-14
PTL-7817,2021-12-22
PTL-7857,2021-11-03
PTL-7861,2021-12-15
PTL-7863,2021-11-02
PTL-7866,2021-07-14
PTL-7891,2021-08-19
PTL-7892,2021-11-03
PTL-7913,2021-12-09
PTL-7915,2021-12-27
PTL-7916,2021-12-24
PTL-7918,2021-12-09
PTL-7919,2021-12-16
PTL-7955,2021-05-17
PTL-7969,2021-12-10
PTL-7973,2021-06-04
PTL-7983,2021-06-04
PTL-7984,2021-01-13
PTL-7991,2021-05-05
PTL-7996,2021-05-17
PTL-8001,2021-08-03
PTL-8009,2021-05-04
PTL-8017,2021-08-04
PTL-8115,2021-12-09
PTL-8119,2021-11-16
PTL-8145,2021-11-16
PTL-8165,2021-08-19
PTL-8179,2021-11-15
PTL-8262,2021-08-26
PTL-8263,2021-08-26
PTL-8264,2021-01-26
PTL-8265,2021-08-26
PTL-8268,2021-08-25
PTL-8269,2021-08-26
PTL-8271,2021-01-04
PTL-8272,2021-01-12
PTL-8273,2021-12-01
PTL-8274,2021-08-26
PTL-8277,2021-08-26
PTL-8322,2021-12-07
PTL-8347,2021-07-26
PTL-8366,2021-11-19
PTL-8368,2021-03-12
PTL-8370,2021-11-08
PTL-8372,2021-03-31
PTL-8373,2021-06-11
PTL-8375,2021-04-16
PTL-8376,2021-06-11
PTL-8378,2021-03-13
PTL-8379,2021-06-07
PTL-8380,2021-03-23
PTL-8382,2021-06-11
PTL-8383,2021-03-11
PTL-8422,2021-11-22
PTL-8435,2021-09-27
PTL-8477,2021-03-25
PTL-8509,2021-07-11
PTL-8526,2021-10-27
PTL-8555,2021-06-04
PTL-8567,2021-09-27
PTL-8570,2021-08-04
PTL-8574,2021-04-18
PTL-8580,2021-11-03
PTL-8592,2021-09-02
PTL-8614,2021-01-15
PTL-8628,2021-08-31
PTL-8668,2021-09-07
PTL-8718,2021-03-12
PTL-8722,2021-09-27
PTL-8752,2021-11-01
PTL-8758,2021-02-26
PTL-8775,2021-07-15
PTL-8811,2021-04-20
PTL-8829,2021-07-13
PTL-8850,2021-10-27
PTL-8851,2021-04-09
PTL-8895,2021-08-18
PTL-9184,2021-08-02
PTL-9185,2021-01-06
PTL-9186,2021-12-06
PTL-9188,2021-04-08
PTL-9189,2021-05-26
PTL-9190,2021-05-25
PTL-9192,2021-03-20
PTL-9193,2021-05-10
PTL-9194,2021-03-20
PTL-9195,2021-03-20
PTL-9196,2021-02-26
PTL-9198,2021-01-06
PTL-9199,2021-01-21
PTL-9200,2021-06-01
PTL-9212,2021-04-01
PTL-9215,2021-07-02
PTL-9216,2021-05-27
PTL-9217,2021-11-24
PTL-9218,2021-09-21
PTL-9243,2021-07-08
PTL-9244,2021-07-09
PTL-9245,2021-06-04
PTL-9247,2021-06-04
PTL-9248,2021-10-06
PTL-9250,2021-07-09
PTL-9251,2021-07-09
PTL-9252,2021-06-16
PTL-9263,2021-08-19
PTL-9264,2021-12-02
PTL-9265,2021-12-15
PTL-9284,2021-07-22
PTL-9285,2021-12-06
PTL-9291,2021-12-02
PTL-9327,2021-05-28
PTL-9330,2021-03-31
PTL-9333,2021-03-31
PTL-9334,2021-12-13
PTL-9335,2021-12-15
PTL-9338,2021-12-17
PTL-9345,2021-02-26
PTL-9349,2021-06-01
PTL-9350,2021-02-04
PTL-9353,2021-12-02
PTL-9356,2021-03-04
PTL-9368,2021-02-11
PTL-9374,2021-03-24
PTL-9380,2021-12-17
PTL-9383,2021-12-07
PTL-9395,2021-03-24
PTL-9406,2021-12-14
PTL-9408,2021-05-26
PTL-9411,2021-12-06
PTL-9414,2021-12-14
PTL-9418,2021-12-06
PTL-9421,2021-02-08
PTL-9422,2021-12-15
PTL-9428,2021-02-11
PTL-9429,2021-03-31
PTL-9630,2021-08-23
PTL-9673,2021-06-01
PTL-9674,2021-11-02
PTL-9675,2021-04-01
PTL-9678,2021-09-09
PTL-9684,2021-10-08
PTL-28,2022-12-14
PTL-888,2022-11-26
PTL-890,2022-10-04
PTL-891,2022-10-04
PTL-892,2022-11-26
PTL-893,2022-07-15
PTL-895,2022-08-23
PTL-918,2022-03-30
PTL-939,2022-03-25
PTL-952,2022-11-21
PTL-954,2022-03-03
PTL-957,2022-03-15
PTL-962,2022-04-21
PTL-967,2022-05-06
PTL-972,2022-02-03
PTL-973,2022-03-03
PTL-974,2022-05-06
PTL-979,2022-03-15
PTL-983,2022-12-02
PTL-984,2022-09-25
PTL-985,2022-12-09
PTL-986,2022-11-30
PTL-987,2022-09-25
PTL-989,2022-12-27
PTL-990,2022-09-24
PTL-992,2022-09-25
PTL-993,2022-04-13
PTL-994,2022-12-02
PTL-995,2022-11-28
PTL-998,2022-09-07
PTL-1000,2022-04-04
PTL-1001,2022-04-04
PTL-1003,2022-11-30
PTL-1004,2022-11-30
PTL-1005,2022-09-19
PTL-1008,2022-11-29
PTL-1009,2022-11-29
PTL-1010,2022-04-07
PTL-1012,2022-11-30
PTL-1013,2022-11-08
PTL-1014,2022-09-25
PTL-1015,2022-11-28
PTL-1058,2022-03-29
PTL-1059,2022-03-14
PTL-1081,2022-03-09
PTL-1083,2022-07-20
PTL-1152,2022-03-21
PTL-1158,2022-03-14
PTL-1178,2022-03-25
PTL-1188,2022-03-07
PTL-1190,2022-02-23
PTL-1197,2022-03-04
PTL-1205,2022-09-26
PTL-1210,2022-04-01
PTL-1278,2022-03-08
PTL-1279,2022-04-07
PTL-1283,2022-04-07
PTL-1299,2022-03-11
PTL-1324,2022-12-23
PTL-1325,2022-07-11
PTL-1326,2022-07-06
PTL-1331,2022-03-17
PTL-1332,2022-05-24
PTL-1333,2022-06-21
PTL-1337,2022-08-19
PTL-1338,2022-11-22
PTL-1339,2022-06-01
PTL-1340,2022-08-05
PTL-1344,2022-03-02
PTL-1348,2022-09-21
PTL-1349,2022-07-11
PTL-1350,2022-03-02
PTL-1353,2022-11-28
PTL-1354,2022-03-02
PTL-1356,2022-03-14
PTL-1359,2022-09-02
PTL-1361,2022-03-10
PTL-1362,2022-10-04
PTL-1363,2022-02-09
PTL-1364,2022-07-13
PTL-1366,2022-06-28
PTL-1367,2022-08-30
PTL-1368,2022-05-11
PTL-1371,2022-10-31
PTL-1373,2022-03-17
PTL-1374,2022-02-03
PTL-1376,2022-10-22
PTL-1377,2022-01-18
PTL-1378,2022-05-25
PTL-1379,2022-01-20
PTL-1434,2022-11-07
PTL-1444,2022-01-16
PTL-1445,2022-05-04
PTL-1452,2022-04-29
PTL-1453,2022-02-17
PTL-1459,2022-01-18
PTL-1462,2022-05-17
PTL-1467,2022-07-08
PTL-1483,2022-05-26
PTL-1544,2022-11-15
PTL-1545,2022-11-17
PTL-1551,2022-12-22
PTL-1554,2022-11-01
PTL-1561,2022-12-22
PTL-1569,2022-11-15
PTL-1575,2022-09-29
PTL-1585,2022-11-17
PTL-1589,2022-10-26
PTL-1636,2022-03-16
PTL-1638,2022-07-07
PTL-1644,2022-03-09
PTL-1650,2022-10-06
PTL-1655,2022-12-14
PTL-1677,2022-03-16
PTL-1683,2022-05-26
PTL-1702,2022-07-08
PTL-1710,2022-03-16
PTL-1717,2022-08-22
PTL-1720,2022-11-30
PTL-1727,2022-03-17
PTL-1728,2022-02-23
PTL-1740,2022-11-03
PTL-1746,2022-02-23
PTL-1756,2022-01-27
PTL-1766,2022-09-29
PTL-1782,2022-07-08
PTL-1790,2022-03-21
PTL-1797,2022-04-14
PTL-1816,2022-02-23
PTL-1819,2022-06-03
PTL-1826,2022-11-30
PTL-1831,2022-03-15
PTL-1832,2022-01-03
PTL-1839,2022-03-16
PTL-1840,2022-09-15
PTL-1841,2022-08-16
PTL-1842,2022-02-23
PTL-1844,2022-10-20
PTL-1849,2022-02-23
PTL-1948,2022-02-08
PTL-1949,2022-01-03
